,Word,CEFR
0,a,A1
5071,please,A1
6998,time,A1
2904,get,A1
1087,character,A1
5063,player,A1
2907,ghost,A1
5062,play,A1
2909,gift,A1
5075,pleasure,A1
1082,change,A1
2914,girl,A1
7012,tired,A1
2915,girlfriend,A1
2916,give,A1
2920,glad,A1
1071,chair,A1
7018,to,A1
6989,tight,A1
5089,pocket,A1
5127,pop,A1
5126,poor,A1
6961,three,A1
5125,pool,A1
1136,child,A1
5121,pollution,A1
6968,through,A1
1133,chicken,A1
6988,tiger,A1
6970,throw,A1
2860,garbage,A1
2861,garden,A1
6977,Thursday,A1
1117,cheese,A1
6981,ticket,A1
5094,point,A1
5091,poem,A1
1105,check,A1
2855,game,A1
5052,plane,A1
2925,glass,A1
2926,glasses,A1
1029,catch,A1
5024,pig,A1
2951,gold,A1
1023,cat,A1
7058,touch,A1
5022,piece,A1
2956,good,A1
7049,topic,A1
2958,good afternoon,A1
1014,case,A1
2960,good night,A1
1011,cartoon,A1
5018,picture,A1
1009,carry,A1
5017,picnic,A1
5014,pick,A1
5012,piano,A1
2959,good morning,A1
7048,top,A1
2945,goal,A1
2944,go,A1
5050,plan,A1
5046,place,A1
5045,pizza,A1
7022,today,A1
7026,together,A1
7028,toilet,A1
7032,tomato,A1
7034,tomorrow,A1
1048,celebration,A1
1047,celebrate,A1
5035,pink,A1
7039,tonight,A1
1043,CD player,A1
1042,CD,A1
7041,too,A1
7042,tool,A1
7043,tooth,A1
2847,future,A1
1145,chocolate,A1
1149,choose,A1
6950,those,A1
1240,code,A1
1235,coat,A1
2788,Friday,A1
6890,test,A1
2791,friend,A1
5184,pray,A1
1225,coach,A1
5178,practice,A1
1241,coffee,A1
1222,club,A1
1219,cloud,A1
6898,than,A1
1217,clothes,A1
1216,cloth,A1
6900,thank,A1
1213,closed,A1
1212,close,A1
1220,cloudy,A1
6879,terrible,A1
2775,free,A1
1248,coke,A1
2740,form,A1
6851,telephone,A1
5246,price,A1
6854,television,A1
1273,come,A1
6855,tell,A1
5238,pretty,A1
6860,temple,A1
6865,ten,A1
1259,college,A1
2757,forty,A1
1257,collection,A1
1256,collect,A1
6871,tennis,A1
5221,present,A1
2763,four,A1
1251,cold,A1
2764,fourteen,A1
7068,towel,A1
1208,clock,A1
6904,that,A1
1176,class,A1
6927,they,A1
6928,thick,A1
2823,fun,A1
6933,thin,A1
6934,thing,A1
6935,think,A1
1167,city,A1
5151,post,A1
6944,thirty,A1
6945,this,A1
1158,circle,A1
1157,cinema,A1
1155,church,A1
2834,funny,A1
6943,thirteen,A1
6925,these,A1
5156,poster,A1
2800,frog,A1
2801,from,A1
1202,climb,A1
6907,the,A1
2802,front,A1
6910,their,A1
1195,clever,A1
6912,them,A1
2808,fruit,A1
6915,then,A1
5160,potato,A1
1187,clean,A1
2816,full,A1
1184,classroom,A1
1183,classmate,A1
6920,there,A1
6902,thanks,A1
2737,forget,A1
7069,tower,A1
7072,toy,A1
826,breakfast,A1
823,break,A1
3136,has,A1
821,bread,A1
4832,paper,A1
4830,pants,A1
3140,hat,A1
4820,palace,A1
4839,paragraph,A1
4817,pair,A1
3149,have,A1
3150,have to,A1
808,brain,A1
4813,paint,A1
3155,he,A1
803,boyfriend,A1
802,boy,A1
4816,painting,A1
3156,head,A1
4845,pardon,A1
4847,parent,A1
3091,hall,A1
861,brother,A1
859,broken,A1
3093,hamburger,A1
7246,under,A1
4870,party,A1
7253,underline,A1
3096,hand,A1
831,breathe,A1
4866,partner,A1
845,bright,A1
3110,handsome,A1
842,bridge,A1
4849,park,A1
3116,happen,A1
3119,happy,A1
3121,hard,A1
849,bring,A1
799,box,A1
3158,headache,A1
797,bowl,A1
3203,here,A1
3206,hers,A1
756,book,A1
753,bone,A1
3211,hi,A1
3213,hide,A1
3214,high,A1
7390,us,A1
4754,over,A1
7393,use,A1
3227,hill,A1
738,body,A1
737,boat,A1
3228,him,A1
3234,his,A1
733,board,A1
7401,usually,A1
4742,outside,A1
3200,her,A1
3194,help,A1
4808,page,A1
3165,health,A1
3167,healthy,A1
790,bottom,A1
3170,hear,A1
788,bottle,A1
3172,heart,A1
4792,owner,A1
783,both,A1
777,borrow,A1
776,boring,A1
7351,until,A1
4789,own,A1
3185,heavy,A1
3191,hello,A1
7364,up,A1
766,bookstore,A1
864,brown,A1
7236,uncle,A1
3087,half,A1
869,brush,A1
4969,personal,A1
4968,person,A1
959,can,A1
3018,great,A1
3022,green,A1
953,camp,A1
952,camera,A1
7136,tree,A1
7125,travel,A1
3025,greet,A1
945,call,A1
7152,trip,A1
939,cake,A1
4943,people,A1
7164,trousers,A1
7165,truck,A1
3039,ground,A1
930,bye,A1
4957,period,A1
3009,grass,A1
966,candy,A1
4982,pet,A1
999,carefully,A1
998,careful,A1
994,care,A1
991,card,A1
4999,photo,A1
4998,phone,A1
2980,grade,A1
984,car,A1
2989,grammar,A1
7092,train,A1
2994,grandfather,A1
2995,grandma,A1
2996,grandmother,A1
2997,grandpa,A1
2998,grandparent,A1
972,cap,A1
3003,grape,A1
6099,she,A1
929,by,A1
7070,town,A1
7166,true,A1
4934,pencil,A1
7200,TV,A1
7201,twelve,A1
7202,twenty,A1
3071,guy,A1
4883,past,A1
7209,two,A1
