,Rank,Word
0,1,the
1,2,of
2,3,and
3,4,to
4,5,in
5,6,i
6,7,that
7,8,was
8,9,his
9,10,he
10,11,it
11,12,with
12,13,is
13,14,for
14,15,as
15,16,had
16,17,you
17,18,not
18,19,be
19,20,her
20,21,on
21,22,at
22,23,by
23,24,which
24,25,have
25,26,or
26,27,from
27,28,this
28,29,him
29,30,but
30,31,all
31,32,she
32,33,they
33,34,were
34,35,my
35,36,are
36,37,me
37,38,one
38,39,their
39,40,so
40,41,an
41,42,said
42,43,them
43,44,we
44,45,who
45,46,would
46,47,been
47,48,will
48,49,no
49,50,when
50,51,there
51,52,if
52,53,more
53,54,out
54,55,up
55,56,into
56,57,do
57,58,any
58,59,your
59,60,what
60,61,has
61,62,man
62,63,could
63,64,other
64,65,than
65,66,our
66,67,some
67,68,very
68,69,time
69,70,upon
70,71,about
71,72,may
72,73,its
73,74,only
74,75,now
75,76,like
76,77,little
77,78,then
78,79,can
79,80,should
80,81,made
81,82,did
82,83,us
83,84,such
84,85,a
85,86,great
86,87,before
87,88,must
88,89,two
89,90,these
90,91,see
91,92,know
92,93,over
93,94,much
94,95,down
95,96,after
96,97,first
97,98,Mr
98,99,good
99,100,men
100,101,own
101,102,never
102,103,most
103,104,old
104,105,shall
105,106,day
106,107,where
107,108,those
108,109,came
109,110,come
110,111,himself
111,112,way
112,113,work
113,114,life
114,115,without
115,116,go
116,117,make
117,118,well
118,119,through
119,120,being
120,121,long
121,122,say
122,123,might
123,124,how
124,125,am
125,126,too
126,127,even
127,128,def
128,129,again
129,130,many
130,131,back
131,132,here
132,133,think
133,134,every
134,135,people
135,136,went
136,137,same
137,138,last
138,139,thought
139,140,away
140,141,under
141,142,take
142,143,found
143,144,hand
144,145,eyes
145,146,still
146,147,place
147,148,while
148,149,just
149,150,also
150,151,young
151,152,yet
152,153,though
153,154,against
154,155,things
155,156,get
156,157,ever
157,158,give
158,159,god
159,160,years
160,161,off
161,162,face
162,163,nothing
163,164,right
164,165,once
165,166,another
166,167,left
167,168,part
168,169,saw
169,170,house
170,171,world
171,172,head
172,173,three
173,174,took
174,175,new
175,176,love
176,177,always
177,178,Mrs
178,179,put
179,180,night
180,181,each
181,182,king
182,183,between
183,184,tell
184,185,mind
185,186,heart
186,187,few
187,188,because
188,189,thing
189,190,whom
190,191,far
191,192,seemed
192,193,looked
193,194,called
194,195,whole
195,196,de
196,197,set
197,198,both
198,199,got
199,200,find
200,201,done
201,202,heard
202,203,look
203,204,name
204,205,days
205,206,told
206,207,let
207,208,lord
208,209,country
209,210,asked
210,211,going
211,212,seen
212,213,better
213,214,p
214,215,having
215,216,home
216,217,knew
217,218,side
218,219,something
219,220,moment
220,221,father
221,222,among
222,223,course
223,224,hands
224,225,woman
225,226,enough
226,227,words
227,228,mother
228,229,soon
229,230,full
230,231,end
231,232,gave
232,233,room
233,234,almost
234,235,small
235,236,thou
236,237,cannot
237,238,water
238,239,want
239,240,however
240,241,light
241,242,quite
242,243,brought
243,244,nor
244,245,word
245,246,whose
246,247,given
247,248,door
248,249,best
249,250,turned
250,251,taken
251,252,does
252,253,use
253,254,morning
254,255,myself
255,256,Gutenberg
256,257,felt
257,258,until
258,259,since
259,260,power
260,261,themselves
261,262,used
262,263,rather
263,264,began
264,265,present
265,266,voice
266,267,others
267,268,white
268,269,works
269,270,less
270,271,money
271,272,next
272,273,poor
273,274,death
274,275,stood
275,276,form
276,277,within
277,278,together
278,279,till
279,280,thy
280,281,large
281,282,matter
282,283,kind
283,284,often
284,285,certain
285,286,herself
286,287,year
287,288,friend
288,289,half
289,290,order
290,291,round
291,292,true
292,293,anything
293,294,keep
294,295,sent
295,296,wife
296,297,means
297,298,believe
298,299,passed
299,300,feet
300,301,near
301,302,public
302,303,state
303,304,son
304,305,hundred
305,306,children
306,307,thus
307,308,hope
308,309,alone
309,310,above
310,311,case
311,312,dear
312,313,thee
313,314,says
314,315,person
315,316,high
316,317,read
317,318,city
318,319,already
319,320,received
320,321,fact
321,322,gone
322,323,girl
323,324,known
324,325,hear
325,326,times
326,327,least
327,328,perhaps
328,329,sure
329,330,indeed
330,331,english
331,332,open
332,333,body
333,334,itself
334,335,along
335,336,land
336,337,return
337,338,leave
338,339,air
339,340,nature
340,341,answered
341,342,either
342,343,law
343,344,help
344,345,lay
345,346,point
346,347,child
347,348,letter
348,349,four
349,350,wish
350,351,fire
351,352,cried
352,353,2
353,354,women
354,355,speak
355,356,number
356,357,therefore
357,358,hour
358,359,friends
359,360,held
360,361,free
361,362,war
362,363,during
363,364,several
364,365,business
365,366,whether
366,367,er
367,368,manner
368,369,second
369,370,reason
370,371,replied
371,372,united
372,373,call
373,374,general
374,375,why
375,376,behind
376,377,became
377,378,john
378,379,become
379,380,dead
380,381,earth
381,382,boy
382,383,lost
383,384,forth
384,385,thousand
385,386,looking
386,387,I'll
387,388,family
388,389,soul
389,390,feel
390,391,coming
391,392,England
392,393,spirit
393,394,question
394,395,care
395,396,truth
396,397,ground
397,398,really
398,399,rest
399,400,mean
400,401,different
401,402,making
402,403,possible
403,404,fell
404,405,towards
405,406,human
406,407,kept
407,408,short
408,409,town
409,410,following
410,411,need
411,412,cause
412,413,met
413,414,evening
414,415,returned
415,416,five
416,417,strong
417,418,able
418,419,french
419,420,live
420,421,lady
421,422,subject
422,423,sn
423,424,answer
424,425,sea
425,426,fear
426,427,understand
427,428,hard
428,429,terms
429,430,doubt
430,431,around
431,432,ask
432,433,arms
433,434,turn
434,435,sense
435,436,seems
436,437,black
437,438,bring
438,439,followed
439,440,beautiful
440,441,close
441,442,dark
442,443,hold
443,444,character
444,445,sort
445,446,sight
446,447,ten
447,448,show
448,449,party
449,450,fine
450,451,ye
451,452,ready
452,453,story
453,454,common
454,455,book
455,456,electronic
456,457,talk
457,458,account
458,459,mark
459,460,interest
460,461,written
461,462,can't
462,463,bed
463,464,necessary
464,465,age
465,466,else
466,467,force
467,468,idea
468,469,longer
469,470,art
470,471,spoke
471,472,across
472,473,brother
473,474,early
474,475,ought
475,476,sometimes
476,477,line
477,478,saying
478,479,table
479,480,appeared
480,481,river
481,482,continued
482,483,eye
483,484,ety
484,485,sun
485,486,information
486,487,later
487,488,everything
488,489,reached
489,490,suddenly
490,491,past
491,492,hours
492,493,strange
493,494,deep
494,495,change
495,496,miles
496,497,feeling
497,498,act
498,499,meet
499,500,paid
500,501,further
501,502,purpose
502,503,happy
503,504,added
504,505,seem
505,506,taking
506,507,blood
507,508,rose
508,509,south
509,510,beyond
510,511,cold
511,512,neither
512,513,forward
513,514,view
514,515,I've
515,516,position
516,517,sound
517,518,none
518,519,entered
519,520,clear
520,521,road
521,522,late
522,523,stand
523,524,suppose
524,525,la
525,526,daughter
526,527,real
527,528,nearly
528,529,mine
529,530,laws
530,531,knowledge
531,532,comes
532,533,toward
533,534,bad
534,535,cut
535,536,copy
536,537,husband
537,538,six
538,539,France
539,540,living
540,541,peace
541,542,didn't
542,543,low
543,544,north
544,545,remember
545,546,effect
546,547,natural
547,548,pretty
548,549,fall
549,550,fair
550,551,service
551,552,below
552,553,except
553,554,American
554,555,hair
555,556,London
556,557,laid
557,558,pass
558,559,led
559,560,copyright
560,561,doing
561,562,army
562,563,run
563,564,horse
564,565,future
565,566,opened
566,567,pleasure
567,568,history
568,569,west
569,570,pay
570,571,red
571,572,an'
572,573,4
573,574,hath
574,575,note
575,576,although
576,577,wanted
577,578,gold
578,579,makes
579,580,desire
580,581,play
581,582,master
582,583,office
583,584,tried
584,585,front
585,586,big
586,587,Dr
587,588,lived
588,589,certainly
589,590,wind
590,591,receive
591,592,attention
592,593,government
593,594,unto
594,595,church
595,596,strength
596,597,length
597,598,company
598,599,placed
599,600,paper
600,601,letters
601,602,probably
602,603,glad
603,604,important
604,605,especially
605,606,greater
606,607,yourself
607,608,fellow
608,609,bear
609,610,opinion
610,611,window
611,612,ran
612,613,faith
613,614,ago
614,615,agreement
615,616,charge
616,617,beauty
617,618,lips
618,619,remained
619,620,arm
620,621,latter
621,622,duty
622,623,send
623,624,distance
624,625,silence
625,626,foot
626,627,wild
627,628,object
628,629,die
629,630,save
630,631,gentleman
631,632,trees
632,633,green
633,634,trouble
634,635,smile
635,636,books
636,637,wrong
637,638,various
638,639,sleep
639,640,persons
640,641,blockquote
641,642,happened
642,643,particular
643,644,drew
644,645,minutes
645,646,hardly
646,647,walked
647,648,chief
648,649,chance
649,650,according
650,651,beginning
651,652,action
652,653,deal
653,654,loved
654,655,visit
655,656,thinking
656,657,follow
657,658,standing
658,659,knows
659,660,try
660,661,presence
661,662,heavy
662,663,sweet
663,664,plain
664,665,donations
665,666,immediately
666,667,wrote
667,668,mouth
668,669,rich
669,670,thoughts
670,671,months
671,672,u
672,673,won't
673,674,afraid
674,675,Paris
675,676,single
676,677,joy
677,678,enemy
678,679,broken
679,680,unless
680,681,states
681,682,ship
682,683,condition
683,684,carry
684,685,exclaimed
685,686,including
686,687,filled
687,688,seeing
688,689,influence
689,690,write
690,691,boys
691,692,appear
692,693,outside
693,694,secret
694,695,parts
695,696,please
696,697,appearance
697,698,evil
698,699,march
699,700,George
700,701,whatever
701,702,slowly
702,703,tears
703,704,horses
704,705,places
705,706,caught
706,707,stay
707,708,instead
708,709,struck
709,710,blue
710,711,York
711,712,impossible
712,713,period
713,714,sister
714,715,battle
715,716,school
716,717,Mary
717,718,raised
718,719,occasion
719,720,married
720,721,man's
721,722,former
722,723,food
723,724,youth
724,725,learned
725,726,merely
726,727,reach
727,728,system
728,729,twenty
729,730,dinner
730,731,quiet
731,732,easily
732,733,moved
733,734,afterwards
734,735,giving
735,736,walk
736,737,stopped
737,738,laughed
738,739,language
739,740,expression
740,741,week
741,742,hall
742,743,danger
743,744,property
744,745,wonder
745,746,usual
746,747,figure
747,748,born
748,749,court
749,750,generally
750,751,grew
751,752,showed
752,753,getting
753,754,ancient
754,755,respect
755,756,third
756,757,worth
757,758,simple
758,759,tree
759,760,leaving
760,761,remain
761,762,society
762,763,fight
763,764,wall
764,765,result
765,766,heaven
766,767,William
767,768,started
768,769,command
769,770,tone
770,771,regard
771,772,expected
772,773,mere
773,774,month
774,775,beside
775,776,silent
776,777,perfect
777,778,experience
778,779,street
779,780,writing
780,781,goes
781,782,circumstances
782,783,entirely
783,784,fresh
784,785,duke
785,786,covered
786,787,bound
787,788,east
788,789,wood
789,790,stone
790,791,quickly
791,792,notice
792,793,bright
793,794,Christ
794,795,boat
795,796,noble
796,797,meant
797,798,somewhat
798,799,sudden
799,800,value
800,801,c.
801,802,direction
802,803,chair
803,804,due
804,805,support
805,806,tom
806,807,date
807,808,waiting
808,809,Christian
809,810,village
810,811,lives
811,812,reading
812,813,agree
813,814,lines
814,815,considered
815,816,field
816,817,observed
817,818,scarcely
818,819,wished
819,820,wait
820,821,greatest
821,822,permission
822,823,success
823,824,piece
824,825,British
825,826,ex
826,827,Charles
827,828,formed
828,829,speaking
829,830,trying
830,831,conversation
831,832,proper
832,833,hill
833,834,music
834,835,opportunity
835,836,that's
836,837,German
837,838,afternoon
838,839,cry
839,840,cost
840,841,allowed
841,842,girls
842,843,considerable
843,844,c
844,845,broke
845,846,honour
846,847,seven
847,848,private
848,849,sit
849,850,news
850,851,top
851,852,scene
852,853,discovered
853,854,marriage
854,855,step
855,856,garden
856,857,race
857,858,begin
858,859,per
859,860,individual
860,861,sitting
861,862,learn
862,863,political
863,864,difficult
864,865,bit
865,866,speech
866,867,Henry
867,868,lie
868,869,cast
869,870,eat
870,871,authority
871,872,etc.
872,873,floor
873,874,ill
874,875,ways
875,876,officers
876,877,offered
877,878,original
878,879,happiness
879,880,flowers
880,881,produced
881,882,summer
882,883,provide
883,884,study
884,885,religion
885,886,picture
886,887,walls
887,888,personal
888,889,America
889,890,watch
890,891,pleased
891,892,leaves
892,893,declared
893,894,hot
894,895,understood
895,896,effort
896,897,prepared
897,898,escape
898,899,attempt
899,900,supposed
900,901,killed
901,902,fast
902,903,author
903,904,Indian
904,905,brown
905,906,determined
906,907,pain
907,908,spring
908,909,takes
909,910,drawn
910,911,soldiers
911,912,houses
912,913,beneath
913,914,talking
914,915,turning
915,916,century
916,917,steps
917,918,intended
918,919,soft
919,920,straight
920,921,matters
921,922,likely
922,923,corner
923,924,trademark
924,925,justice
925,926,simply
926,927,produce
927,928,trust
928,929,appears
929,930,Rome
930,931,laugh
931,932,forget
932,933,Europe
933,934,passage
934,935,eight
935,936,closed
936,937,ourselves
937,938,gives
938,939,dress
939,940,passing
940,941,terrible
941,942,required
942,943,medium
943,944,efforts
944,945,sake
945,946,breath
946,947,wise
947,948,ladies
948,949,possession
949,950,pleasant
950,951,perfectly
951,952,o'
952,953,memory
953,954,usually
954,955,grave
955,956,fixed
956,957,modern
957,958,spot
958,959,troops
959,960,rise
960,961,break
961,962,fifty
962,963,island
963,964,meeting
964,965,camp
965,966,nation
966,967,existence
967,968,reply
968,969,I'd
969,970,copies
970,971,sky
971,972,touch
972,973,equal
973,974,fortune
974,975,v.
975,976,shore
976,977,domain
977,978,named
978,979,situation
979,980,looks
980,981,promise
981,982,orders
982,983,degree
983,984,middle
984,985,winter
985,986,plan
986,987,spent
987,988,allow
988,989,pale
989,990,conduct
990,991,running
991,992,religious
992,993,surprise
993,994,minute
994,995,roman
995,996,cases
996,997,shot
997,998,lead
998,999,move
999,1000,names
1000,1001,stop
1001,1002,higher
1002,1003,et
1003,1004,father's
1004,1005,threw
1005,1006,worse
1006,1007,built
1007,1008,spoken
1008,1009,glass
1009,1010,board
1010,1011,vain
1011,1012,affairs
1012,1013,instance
1013,1014,safe
1014,1015,loss
1015,1016,doctor
1016,1017,offer
1017,1018,class
1018,1019,complete
1019,1020,access
1020,1021,lower
1021,1022,wouldn't
1022,1023,repeated
1023,1024,forms
1024,1025,darkness
1025,1026,military
1026,1027,warm
1027,1028,drink
1028,1029,passion
1029,1030,ones
1030,1031,physical
1031,1032,example
1032,1033,ears
1033,1034,questions
1034,1035,start
1035,1036,lying
1036,1037,smiled
1037,1038,keeping
1038,1039,spite
1039,1040,shown
1040,1041,directly
1041,1042,james
1042,1043,hart
1043,1044,serious
1044,1045,hat
1045,1046,dog
1046,1047,silver
1047,1048,sufficient
1048,1049,main
1049,1050,mentioned
1050,1051,servant
1051,1052,pride
1052,1053,crowd
1053,1054,train
1054,1055,wonderful
1055,1056,moral
1056,1057,instant
1057,1058,associated
1058,1059,path
1059,1060,greek
1060,1061,meaning
1061,1062,fit
1062,1063,ordered
1063,1064,lot
1064,1065,he's
1065,1066,proved
1066,1067,obliged
1067,1068,enter
1068,1069,rule
1069,1070,sword
1070,1071,attack
1071,1072,seat
1072,1073,game
1073,1074,health
1074,1075,paragraph
1075,1076,statement
1076,1077,social
1077,1078,refund
1078,1079,sorry
1079,1080,courage
1080,1081,members
1081,1082,grace
1082,1083,official
1083,1084,dream
1084,1085,worthy
1085,1086,rock
1086,1087,jack
1087,1088,provided
1088,1089,special
1089,1090,shook
1090,1091,request
1091,1092,mighty
1092,1093,glance
1093,1094,heads
1094,1095,movement
1095,1096,fee
1096,1097,share
1097,1098,expect
1098,1099,couldn't
1099,1100,dollars
1100,1101,spread
1101,1102,opposite
1102,1103,glory
1103,1104,twelve
1104,1105,space
1105,1106,engaged
1106,1107,peter
1107,1108,wine
1108,1109,ordinary
1109,1110,mountains
1110,1111,taste
1111,1112,iron
1112,1113,isn't
1113,1114,distribute
1114,1115,trade
1115,1116,consider
1116,1117,greatly
1117,1118,accepted
1118,1119,forced
1119,1120,advantage
1120,1121,ideas
1121,1122,decided
1122,1123,using
1123,1124,officer
1124,1125,rate
1125,1126,clothes
1126,1127,sign
1127,1128,feelings
1128,1129,native
1129,1130,promised
1130,1131,judge
1131,1132,difference
1132,1133,working
1133,1134,anxious
1134,1135,marry
1135,1136,captain
1136,1137,finished
1137,1138,extent
1138,1139,watched
1139,1140,curious
1140,1141,foreign
1141,1142,besides
1142,1143,method
1143,1144,excellent
1144,1145,confidence
1145,1146,marked
1146,1147,'em
1147,1148,jesus
1148,1149,exactly
1149,1150,importance
1150,1151,finally
1151,1152,bill
1152,1153,vast
1153,1154,prove
1154,1155,fancy
1155,1156,quick
1156,1157,yes
1157,1158,sought
1158,1159,prevent
1159,1160,neck
1160,1161,hearts
1161,1162,liberty
1162,1163,interesting
1163,1164,sides
1164,1165,legal
1165,1166,gentlemen
1166,1167,dry
1167,1168,serve
1168,1169,aside
1169,1170,pure
1170,1171,concerning
1171,1172,forgotten
1172,1173,lose
1173,1174,powers
1174,1175,possessed
1175,1176,thrown
1176,1177,evidence
1177,1178,distant
1178,1179,Michael
1179,1180,progress
1180,1181,similar
1181,1182,narrow
1182,1183,altogether
1183,1184,building
1184,1185,page
1185,1186,particularly
1186,1187,knowing
1187,1188,weeks
1188,1189,settled
1189,1190,holding
1190,1191,mountain
1191,1192,search
1192,1193,sad
1193,1194,sin
1194,1195,lies
1195,1196,proud
1196,1197,pieces
1197,1198,clearly
1198,1199,price
1199,1200,ships
1200,1201,thirty
1201,1202,sick
1202,1203,honest
1203,1204,shut
1204,1205,talked
1205,1206,bank
1206,1207,fate
1207,1208,dropped
1208,1209,judgment
1209,1210,conditions
1210,1211,king's
1211,1212,accept
1212,1213,hills
1213,1214,removed
1214,1215,forest
1215,1216,measure
1216,1217,species
1217,1218,seek
1218,1219,highest
1219,1220,otherwise
1220,1221,stream
1221,1222,honor
1222,1223,carefully
1223,1224,obtained
1224,1225,ear
1225,1226,bread
1226,1227,bottom
1227,1228,additional
1228,1229,presented
1229,1230,aid
1230,1231,fingers
1231,1232,q
1232,1233,remembered
1233,1234,choose
1234,1235,agreed
1235,1236,animal
1236,1237,events
1237,1238,there's
1238,1239,fully
1239,1240,delight
1240,1241,rights
1241,1242,amount
1242,1243,obtain
1243,1244,tax
1244,1245,servants
1245,1246,sons
1246,1247,cross
1247,1248,shoulders
1248,1249,thick
1249,1250,points
1250,1251,stranger
1251,1252,woods
1252,1253,facts
1253,1254,dare
1254,1255,grow
1255,1256,creature
1256,1257,hung
1257,1258,rain
1258,1259,false
1259,1260,tall
1260,1261,gate
1261,1262,nations
1262,1263,created
1263,1264,refused
1264,1265,quietly
1265,1266,surface
1266,1267,freely
1267,1268,holy
1268,1269,streets
1269,1270,blow
1270,1271,july
1271,1272,regarded
1272,1273,fashion
1273,1274,report
1274,1275,coast
1275,1276,daily
1276,1277,file
1277,1278,shoulder
1278,1279,surprised
1279,1280,faces
1280,1281,succeeded
1281,1282,birds
1282,1283,distribution
1283,1284,royal
1284,1285,song
1285,1286,wealth
1286,1287,comfort
1287,1288,failed
1288,1289,freedom
1289,1290,peculiar
1290,1291,anyone
1291,1292,advance
1292,1293,gentle
1293,1294,surely
1294,1295,animals
1295,1296,waited
1296,1297,secure
1297,1298,desired
1298,1299,grass
1299,1300,touched
1300,1301,occupied
1301,1302,draw
1302,1303,stage
1303,1304,portion
1304,1305,expressed
1305,1306,opening
1306,1307,june
1307,1308,spirits
1308,1309,fish
1309,1310,tongue
1310,1311,capital
1311,1312,angry
1312,1313,growing
1313,1314,served
1314,1315,carriage
1315,1316,weather
1316,1317,breast
1317,1318,presently
1318,1319,snow
1319,1320,David
1320,1321,papers
1321,1322,necessity
1322,1323,practice
1323,1324,claim
1324,1325,hast
1325,1326,education
1326,1327,sharp
1327,1328,prince
1328,1329,permitted
1329,1330,group
1330,1331,enemies
1331,1332,robert
1332,1333,played
1333,1334,throughout
1334,1335,pity
1335,1336,expense
1336,1337,yours
1337,1338,million
1338,1339,add
1339,1340,pray
1340,1341,taught
1341,1342,explained
1342,1343,tired
1343,1344,leading
1344,1345,kill
1345,1346,shadow
1346,1347,companion
1347,1348,weight
1348,1349,mass
1349,1350,established
1350,1351,suffered
1351,1352,gray
1352,1353,brave
1353,1354,thin
1354,1355,satisfied
1355,1356,check
1356,1357,virtue
1357,1358,golden
1358,1359,numerous
1359,1360,frequently
1360,1361,famous
1361,1362,telling
1362,1363,powerful
1363,1364,alive
1364,1365,waters
1365,1366,national
1366,1367,weak
1367,1368,divine
1368,1369,material
1369,1370,principal
1370,1371,gathered
1371,1372,suggested
1372,1373,frank
1373,1374,valley
1374,1375,guess
1375,1376,finding
1376,1377,yellow
1377,1378,heat
1378,1379,remains
1379,1380,bent
1380,1381,seized
1381,1382,guard
1382,1383,equally
1383,1384,naturally
1384,1385,box
1385,1386,remarkable
1386,1387,gods
1387,1388,moon
1388,1389,slight
1389,1390,style
1390,1391,pointed
1391,1392,saved
