,Rank,Word
0,1,you
1,2,I
2,3,to
3,4,the
4,5,a
5,6,and
6,7,that
7,8,it
8,9,of
9,10,me
10,11,what
11,12,is
12,13,in
13,14,this
14,15,know
15,16,I'm
16,17,for
17,18,no
18,19,have
19,20,my
20,21,don't
21,22,just
22,23,not
23,24,do
24,25,be
25,26,on
26,27,your
27,28,was
28,29,we
29,30,it's
30,31,with
31,32,so
32,33,but
33,34,all
34,35,well
35,36,are
36,37,he
37,38,oh
38,39,about
39,40,right
40,41,you're
41,42,get
42,43,here
43,44,out
44,45,going
45,46,like
46,47,yeah
47,48,if
48,49,her
49,50,she
50,51,can
51,52,up
52,53,want
53,54,think
54,55,that's
55,56,now
56,57,go
57,58,him
58,59,at
59,60,how
60,61,got
61,62,there
62,63,one
63,64,did
64,65,why
65,66,see
66,67,come
67,68,good
68,69,they
69,70,really
70,71,as
71,72,would
72,73,look
73,74,when
74,75,time
75,76,will
76,77,okay
77,78,back
78,79,can't
79,80,mean
80,81,tell
81,82,I'll
82,83,from
83,84,hey
84,85,were
85,86,he's
86,87,could
87,88,didn't
88,89,yes
89,90,his
90,91,been
91,92,or
92,93,something
93,94,who
94,95,because
95,96,some
96,97,had
97,98,then
98,99,say
99,100,ok
100,101,take
101,102,an
102,103,way
103,104,us
104,105,little
105,106,make
106,107,need
107,108,gonna
108,109,never
109,110,we're
110,111,too
111,112,love
112,113,she's
113,114,I've
114,115,sure
115,116,them
116,117,more
117,118,over
118,119,our
119,120,sorry
120,121,where
121,122,what's
122,123,let
123,124,thing
124,125,am
125,126,maybe
126,127,down
127,128,man
128,129,has
129,130,uh
130,131,very
131,132,by
132,133,there's
133,134,should
134,135,anything
135,136,said
136,137,much
137,138,any
138,139,life
139,140,even
140,141,off
141,142,please
142,143,doing
143,144,thank
144,145,give
145,146,only
146,147,thought
147,148,help
148,149,two
149,150,talk
150,151,people
151,152,god
152,153,still
153,154,wait
154,155,into
155,156,find
156,157,nothing
157,158,again
158,159,things
159,160,let's
160,161,doesn't
161,162,call
162,163,told
163,164,great
164,165,before
165,166,better
166,167,ever
167,168,night
168,169,than
169,170,away
170,171,first
171,172,believe
172,173,other
173,174,feel
174,175,everything
175,176,work
176,177,you've
177,178,fine
178,179,home
179,180,after
180,181,last
181,182,these
182,183,day
183,184,keep
184,185,does
185,186,put
186,187,around
187,188,stop
188,189,they're
189,190,I'd
190,191,guy
191,192,long
192,193,isn't
193,194,always
194,195,listen
195,196,wanted
196,197,Mr.
197,198,guys
198,199,huh
199,200,those
200,201,big
201,202,lot
202,203,happened
203,204,thanks
204,205,won't
205,206,trying
206,207,kind
207,208,wrong
208,209,through
209,210,talking
210,211,made
211,212,new
212,213,being
213,214,guess
214,215,hi
215,216,care
216,217,bad
217,218,mom
218,219,remember
219,220,getting
220,221,we'll
221,222,together
222,223,dad
223,224,leave
224,225,mother
225,226,place
226,227,understand
227,228,wouldn't
228,229,actually
229,230,hear
230,231,baby
231,232,nice
232,233,father
233,234,else
234,235,stay
235,236,done
236,237,wasn't
237,238,their
238,239,course
239,240,might
240,241,mind
241,242,every
242,243,enough
243,244,try
244,245,hell
245,246,came
246,247,someone
247,248,you'll
248,249,own
249,250,family
250,251,whole
251,252,another
252,253,house
253,254,Jack
254,255,yourself
255,256,idea
256,257,ask
257,258,best
258,259,must
259,260,coming
260,261,old
261,262,looking
262,263,woman
263,264,hello
264,265,which
265,266,years
266,267,room
267,268,money
268,269,left
269,270,knew
270,271,tonight
271,272,real
272,273,son
273,274,hope
274,275,name
275,276,same
276,277,went
277,278,um
278,279,hmm
279,280,happy
280,281,pretty
281,282,saw
282,283,girl
283,284,sir
284,285,show
285,286,friend
286,287,already
287,288,saying
288,289,may
289,290,next
290,291,three
291,292,job
292,293,problem
293,294,minute
294,295,found
295,296,world
296,297,thinking
297,298,haven't
298,299,heard
299,300,honey
300,301,matter
301,302,myself
302,303,couldn't
303,304,exactly
304,305,having
305,306,ah
306,307,probably
307,308,happen
308,309,we've
309,310,hurt
310,311,boy
311,312,both
312,313,while
313,314,dead
314,315,gotta
315,316,alone
316,317,since
317,318,excuse
318,319,start
319,320,kill
320,321,hard
321,322,you'd
322,323,today
323,324,car
324,325,ready
325,326,until
326,327,without
327,328,whatever
328,329,wants
329,330,hold
330,331,wanna
331,332,yet
332,333,seen
333,334,deal
334,335,took
335,336,once
336,337,gone
337,338,called
338,339,morning
339,340,supposed
340,341,friends
341,342,head
342,343,stuff
343,344,most
344,345,used
345,346,worry
346,347,second
347,348,part
348,349,live
349,350,truth
350,351,school
351,352,face
352,353,forget
353,354,true
354,355,business
355,356,each
356,357,cause
357,358,soon
358,359,knows
359,360,few
360,361,telling
361,362,wife
362,363,who's
363,364,use
364,365,chance
365,366,run
366,367,move
367,368,anyone
368,369,person
369,370,bye
370,371,J.
371,372,somebody
372,373,Dr.
373,374,heart
374,375,such
375,376,miss
376,377,married
377,378,point
378,379,later
379,380,making
380,381,meet
381,382,anyway
382,383,many
383,384,phone
384,385,reason
385,386,damn
386,387,lost
387,388,looks
388,389,bring
389,390,case
390,391,turn
391,392,wish
392,393,tomorrow
393,394,kids
394,395,trust
395,396,check
396,397,change
397,398,end
398,399,late
399,400,anymore
400,401,five
401,402,least
402,403,town
403,404,aren't
404,405,ha
405,406,working
406,407,year
407,408,makes
408,409,taking
409,410,means
410,411,brother
411,412,play
412,413,hate
413,414,ago
414,415,says
415,416,beautiful
416,417,gave
417,418,fact
418,419,crazy
419,420,party
420,421,sit
421,422,open
422,423,afraid
423,424,between
424,425,important
425,426,rest
426,427,fun
427,428,kid
428,429,word
429,430,watch
430,431,glad
431,432,everyone
432,433,days
433,434,sister
434,435,minutes
435,436,everybody
436,437,bit
437,438,couple
438,439,whoa
439,440,either
440,441,Mrs.
441,442,feeling
442,443,daughter
443,444,wow
444,445,gets
445,446,asked
446,447,under
447,448,break
448,449,promise
449,450,door
450,451,set
451,452,close
452,453,hand
453,454,easy
454,455,question
455,456,doctor
456,457,tried
457,458,far
458,459,walk
459,460,needs
460,461,trouble
461,462,mine
462,463,though
463,464,times
464,465,different
465,466,killed
466,467,hospital
467,468,anybody
468,469,Sam
469,470,alright
470,471,wedding
471,472,shut
472,473,able
473,474,die
474,475,perfect
475,476,police
476,477,stand
477,478,comes
478,479,hit
479,480,story
480,481,ya
481,482,mm
482,483,waiting
483,484,dinner
484,485,against
485,486,funny
486,487,husband
487,488,almost
488,489,stupid
489,490,pay
490,491,answer
491,492,four
492,493,office
493,494,cool
494,495,eyes
495,496,news
