,Word,CEFR
0,a,A1
1,about,A1
2,above,A1
3,across,A1
4,action,A1
5,activity,A1
6,actor,A1
7,actress,A1
8,add,A1
9,address,A1
10,adult,A1
11,advice,A1
12,afraid,A1
13,after,A1
14,afternoon,A1
15,again,A1
16,age,A1
17,ago,A1
18,agree,A1
19,air,A1
20,airport,A1
21,all,A1
22,also,A1
23,always,A1
24,amazing,A1
25,and,A1
26,angry,A1
27,animal,A1
28,another,A1
29,answer,A1
30,any,A1
31,anyone,A1
32,anything,A1
33,apartment,A1
34,apple,A1
35,april,A1
36,area,A1
37,arm,A1
38,around,A1
39,arrive,A1
40,art,A1
41,article,A1
42,artist,A1
43,as,A1
44,ask,A1
45,at,A1
46,august,A1
47,aunt,A1
48,away,A1
49,awesome,A1
50,baby,A1
51,back,A1
52,bad,A1
53,bag,A1
54,ball,A1
55,banana,A1
56,band,A1
57,bank,A1
58,bar,A1
59,baseball,A1
60,basketball,A1
61,bath,A1
62,bathroom,A1
63,be,A1
64,beach,A1
65,beautiful,A1
66,because,A1
67,become,A1
68,bed,A1
69,bedroom,A1
70,beer,A1
71,before,A1
72,begin,A1
73,beginning,A1
74,behind,A1
75,believe,A1
76,below,A1
77,best,A1
78,better,A1
79,between,A1
80,bicycle,A1
81,big,A1
82,bike,A1
83,bill,A1
84,bird,A1
85,birthday,A1
86,black,A1
87,blog,A1
88,blond,A1
89,blue,A1
90,boat,A1
91,body,A1
92,book,A1
93,boot,A1
94,bored,A1
95,boring,A1
96,born,A1
97,both,A1
98,bottle,A1
99,box,A1
100,boy,A1
101,boyfriend,A1
102,bread,A1
103,break,A1
104,breakfast,A1
105,bring,A1
106,brother,A1
107,brown,A1
108,build,A1
109,building,A1
110,bus,A1
111,business,A1
112,busy,A1
113,but,A1
114,butter,A1
115,buy,A1
116,by,A1
117,bye,A1
118,cafe,A1
119,cake,A1
120,call,A1
121,camera,A1
122,can1,A1
123,cannot,A1
124,capital,A1
125,car,A1
126,card,A1
127,career,A1
128,carrot,A1
129,carry,A1
130,cat,A1
131,cd,A1
132,cent,A1
133,center,A1
134,chair,A1
135,change,A1
136,chart,A1
137,cheap,A1
138,check,A1
139,cheese,A1
140,chicken,A1
141,child,A1
142,chocolate,A1
143,choose,A1
144,city,A1
145,class,A1
146,classroom,A1
147,clean,A1
148,climb,A1
149,clock,A1
150,close1,A1
151,clothes,A1
152,club,A1
153,coat,A1
154,coffee,A1
155,cold,A1
156,college,A1
157,color,A1
158,come,A1
159,common,A1
160,company,A1
161,compare,A1
162,complete,A1
163,computer,A1
164,concert,A1
165,conversation,A1
166,cook,A1
167,cooking,A1
168,cool,A1
169,correct,A1
170,cost,A1
171,could,A1
172,country,A1
173,course,A1
174,cousin,A1
175,cow,A1
176,cream,A1
177,create,A1
178,culture,A1
179,cup,A1
180,customer,A1
181,cut,A1
182,dad,A1
183,dance,A1
184,dancer,A1
185,dancing,A1
186,dangerous,A1
187,dark,A1
188,date,A1
189,daughter,A1
190,day,A1
191,dear,A1
192,december,A1
193,decide,A1
194,delicious,A1
195,describe,A1
196,description,A1
197,design,A1
198,desk,A1
199,detail,A1
200,dialogue,A1
201,dictionary,A1
202,die,A1
203,diet,A1
204,difference,A1
205,different,A1
206,difficult,A1
207,dinner,A1
208,dirty,A1
209,discuss,A1
210,dish,A1
211,do1,A1
212,doctor,A1
213,dog,A1
214,dollar,A1
215,door,A1
216,down,A1
217,downstairs,A1
218,draw,A1
219,dress,A1
220,drink,A1
221,drive,A1
222,driver,A1
223,during,A1
224,dvd,A1
225,each,A1
226,ear,A1
227,early,A1
228,east,A1
229,easy,A1
230,eat,A1
231,egg,A1
232,eight,A1
233,eighteen,A1
234,eighty,A1
235,elephant,A1
236,eleven,A1
237,else,A1
238,email,A1
239,end,A1
240,enjoy,A1
241,enough,A1
242,euro,A1
243,even,A1
244,evening,A1
245,event,A1
246,ever,A1
247,every,A1
248,everybody,A1
249,everyone,A1
250,everything,A1
