video_id,difficulty,channel_id
6BYTFD5jySo,1,UCWCOoCApFUtccYENOYeL1uw
y4ctcm_OBS4,1,UCWCOoCApFUtccYENOYeL1uw
2QFjOE5cxmc,1,UCWCOoCApFUtccYENOYeL1uw
1o3WZb9OPtE,1,UCWCOoCApFUtccYENOYeL1uw
nLdasFHfU-U,1,UCWCOoCApFUtccYENOYeL1uw
HHpxUTZZ2mc,1,UCWCOoCApFUtccYENOYeL1uw
jMj7VH_lL_o,1,UCWCOoCApFUtccYENOYeL1uw
SuSTBXGiOsw,1,UCWCOoCApFUtccYENOYeL1uw
KksIB0vWPME,1,UCWCOoCApFUtccYENOYeL1uw
7ADU_Xo9XoQ,1,UCWCOoCApFUtccYENOYeL1uw
xA18WB6jgnU,1,UCWCOoCApFUtccYENOYeL1uw
-Q1X1pqHlco,1,UCWCOoCApFUtccYENOYeL1uw
EhJS5bUdlTk,1,UCWCOoCApFUtccYENOYeL1uw
KRIZOVmsBas,1,UCWCOoCApFUtccYENOYeL1uw
oJKH3rJiu1Q,1,UCWCOoCApFUtccYENOYeL1uw
hvK3EE5toII,1,UCWCOoCApFUtccYENOYeL1uw
WQCNFcReilw,1,UCWCOoCApFUtccYENOYeL1uw
28fCpAYYTuw,1,UCWCOoCApFUtccYENOYeL1uw
NStc-LSTuno,1,UCWCOoCApFUtccYENOYeL1uw
jayZ-37g2SQ,1,UCWCOoCApFUtccYENOYeL1uw
MAiZSNoVexg,1,UCWCOoCApFUtccYENOYeL1uw
dmXzj2jBWLQ,1,UCWCOoCApFUtccYENOYeL1uw
UzhWhjsfvMw,1,UCWCOoCApFUtccYENOYeL1uw
THNumdnZleg,1,UCWCOoCApFUtccYENOYeL1uw
SMlxWJfVUTk,1,UCWCOoCApFUtccYENOYeL1uw
wLaoDMyJghU,1,UCWCOoCApFUtccYENOYeL1uw
meXUHuDqbEY,1,UCWCOoCApFUtccYENOYeL1uw
uya_8JCMw0I,1,UCWCOoCApFUtccYENOYeL1uw
xDWnRC3qS0Y,1,UCWCOoCApFUtccYENOYeL1uw
IdpyOEzlrk8,1,UCWCOoCApFUtccYENOYeL1uw
X0CNtAtvdnQ,1,UCWCOoCApFUtccYENOYeL1uw
NLZF8wd7XW8,1,UCWCOoCApFUtccYENOYeL1uw
aaRSxVNEm-k,1,UCWCOoCApFUtccYENOYeL1uw
REEo6qzpP9s,1,UCWCOoCApFUtccYENOYeL1uw
xR94gfA3kpc,1,UCWCOoCApFUtccYENOYeL1uw
maEy835T0zU,1,UCWCOoCApFUtccYENOYeL1uw
BT3zTduKm50,1,UCWCOoCApFUtccYENOYeL1uw
uHrcjb4Hq2A,1,UCWCOoCApFUtccYENOYeL1uw
B4GrQEG_LWM,1,UCWCOoCApFUtccYENOYeL1uw
FIVuMCIYX2Q,1,UCWCOoCApFUtccYENOYeL1uw
Ajzf9FyXgE4,1,UCWCOoCApFUtccYENOYeL1uw
fB-L9ASxe_w,1,UCWCOoCApFUtccYENOYeL1uw
YegZTTJTwg4,1,UCWCOoCApFUtccYENOYeL1uw
Qbf3fdP23Ug,1,UCWCOoCApFUtccYENOYeL1uw
4Q037lkmmZo,1,UCWCOoCApFUtccYENOYeL1uw
CO2QoRjXf_4,1,UCWCOoCApFUtccYENOYeL1uw
e-nckgCYY0Y,1,UCWCOoCApFUtccYENOYeL1uw
JnmtL8WaekY,1,UCWCOoCApFUtccYENOYeL1uw
Q1HRxx9egvM,1,UCWCOoCApFUtccYENOYeL1uw
0392Bcr1ePI,1,UCWCOoCApFUtccYENOYeL1uw
dUoQ_Y_CdIo,1,UCWCOoCApFUtccYENOYeL1uw
tisSSaarei0,1,UCWCOoCApFUtccYENOYeL1uw
OdIz8VOcSyg,1,UCWCOoCApFUtccYENOYeL1uw
xdxaGB0Tsp0,1,UCWCOoCApFUtccYENOYeL1uw
RRD9IaBIIRY,1,UCWCOoCApFUtccYENOYeL1uw
gNM07WtbTWU,1,UCWCOoCApFUtccYENOYeL1uw
T88sSjEMzF8,1,UCWCOoCApFUtccYENOYeL1uw
aA3Pp4VInKA,1,UCWCOoCApFUtccYENOYeL1uw
oXz8ixzWOp0,1,UCWCOoCApFUtccYENOYeL1uw
36Ox2LpFaPA,1,UCWCOoCApFUtccYENOYeL1uw
7oIqPvTVSr4,1,UCWCOoCApFUtccYENOYeL1uw
p-rGgyl7PHQ,1,UCWCOoCApFUtccYENOYeL1uw
Cp5Vef3-F30,1,UCWCOoCApFUtccYENOYeL1uw
aRRtl2f4RQ4,1,UCWCOoCApFUtccYENOYeL1uw
MGW2NAr2PWk,1,UCWCOoCApFUtccYENOYeL1uw
_CEGrPY8_b0,1,UCWCOoCApFUtccYENOYeL1uw
5xF5lJdgTVg,1,UCWCOoCApFUtccYENOYeL1uw
5B-CeejQSqc,1,UCWCOoCApFUtccYENOYeL1uw
cEIIR3NU-Mc,1,UCWCOoCApFUtccYENOYeL1uw
yBoMshsFRCE,1,UCWCOoCApFUtccYENOYeL1uw
yu_yS5GYkog,1,UCWCOoCApFUtccYENOYeL1uw
gzOI7dLsYoY,1,UCWCOoCApFUtccYENOYeL1uw
kid-j5qRHzA,1,UCWCOoCApFUtccYENOYeL1uw
sf2I-3NvKZY,1,UCWCOoCApFUtccYENOYeL1uw
LGEueG-sr_U,1,UCWCOoCApFUtccYENOYeL1uw
CeYPsl0lQH0,1,UCWCOoCApFUtccYENOYeL1uw
9rnQxyJ8VZo,1,UCWCOoCApFUtccYENOYeL1uw
0fwwimYqVTg,1,UCWCOoCApFUtccYENOYeL1uw
uifoyVm5-y0,1,UCWCOoCApFUtccYENOYeL1uw
2onMpZASj-U,1,UCWCOoCApFUtccYENOYeL1uw
p4dZYga8AgY,1,UCWCOoCApFUtccYENOYeL1uw
AuCoWrjOAHY,1,UCWCOoCApFUtccYENOYeL1uw
DceSqwcMts4,1,UCWCOoCApFUtccYENOYeL1uw
Vi49WAwkfi4,1,UCWCOoCApFUtccYENOYeL1uw
PNOOWlIJ79w,1,UCWCOoCApFUtccYENOYeL1uw
smr9WoILmiw,1,UCWCOoCApFUtccYENOYeL1uw
ma95AZe2UvM,1,UCWCOoCApFUtccYENOYeL1uw
McMVSCwJ4wo,1,UCWCOoCApFUtccYENOYeL1uw
grEbRzt0I0M,1,UCWCOoCApFUtccYENOYeL1uw
pfvAh8LP2RA,1,UCWCOoCApFUtccYENOYeL1uw
t2G6HzZvtME,1,UCWCOoCApFUtccYENOYeL1uw
XzBDxjBfHio,1,UCWCOoCApFUtccYENOYeL1uw
ekMZ8Vn5J_Q,1,UCWCOoCApFUtccYENOYeL1uw
mb8ZuGwlah0,1,UCWCOoCApFUtccYENOYeL1uw
ESEV-wCcYJ8,1,UCWCOoCApFUtccYENOYeL1uw
TnQwWzDsJn0,1,UCWCOoCApFUtccYENOYeL1uw
0jxVXMoXqoU,1,UCWCOoCApFUtccYENOYeL1uw
cl11lIVe8dk,1,UCWCOoCApFUtccYENOYeL1uw
TQ9aQKLmo8M,1,UCWCOoCApFUtccYENOYeL1uw
ePqK4sRKuzw,1,UCWCOoCApFUtccYENOYeL1uw
j4T6pl-TJ0o,1,UCqa2MPu8bLY1PwVFUpSyVhQ
4hRXBffOExI,1,UCqa2MPu8bLY1PwVFUpSyVhQ
Ho2ZB3Aj1NI,1,UCqa2MPu8bLY1PwVFUpSyVhQ
20bM-_dXNqg,1,UCqa2MPu8bLY1PwVFUpSyVhQ
kwlCVw9T4lM,1,UCqa2MPu8bLY1PwVFUpSyVhQ
DutTQG6_4UM,1,UCqa2MPu8bLY1PwVFUpSyVhQ
Qogiom_wtw0,1,UCqa2MPu8bLY1PwVFUpSyVhQ
6K-aXRRuJ8A,1,UCqa2MPu8bLY1PwVFUpSyVhQ
DJJCKv2Lctc,1,UCqa2MPu8bLY1PwVFUpSyVhQ
JZHrCashnNg,1,UCqa2MPu8bLY1PwVFUpSyVhQ
YiWzqmGDlks,1,UCqa2MPu8bLY1PwVFUpSyVhQ
q_jSw-7IKJo,1,UCqa2MPu8bLY1PwVFUpSyVhQ
G6NgH65fsy4,1,UCqa2MPu8bLY1PwVFUpSyVhQ
W3Egu8zU79s,1,UCqa2MPu8bLY1PwVFUpSyVhQ
QOUCll5e01g,1,UCqa2MPu8bLY1PwVFUpSyVhQ
Lv8RwlTlhTc,1,UCqa2MPu8bLY1PwVFUpSyVhQ
bP4YBk_89oU,1,UCqa2MPu8bLY1PwVFUpSyVhQ
rwbmDuHmeQM,1,UCqa2MPu8bLY1PwVFUpSyVhQ
fHMG4lYG2to,1,UCqa2MPu8bLY1PwVFUpSyVhQ
YNuh_wIJMa8,1,UCqa2MPu8bLY1PwVFUpSyVhQ
Gps2EJTWzxg,1,UCqa2MPu8bLY1PwVFUpSyVhQ
HieVpt747VU,1,UCqa2MPu8bLY1PwVFUpSyVhQ
JBkZ1ip-h-U,1,UCqa2MPu8bLY1PwVFUpSyVhQ
rD4YM9Fs__M,1,UCqa2MPu8bLY1PwVFUpSyVhQ
JjhXT_Bf3Og,1,UCqa2MPu8bLY1PwVFUpSyVhQ
_y7K8q5lB4U,1,UCqa2MPu8bLY1PwVFUpSyVhQ
hBbd4S6xa4o,1,UCqa2MPu8bLY1PwVFUpSyVhQ
BNIh9S7jKec,1,UCqa2MPu8bLY1PwVFUpSyVhQ
nT88ZQmRaKQ,1,UCqa2MPu8bLY1PwVFUpSyVhQ
9KXf4qajAYQ,1,UCqa2MPu8bLY1PwVFUpSyVhQ
7n2QocSM9LE,1,UCqa2MPu8bLY1PwVFUpSyVhQ
kfhjyr07gYk,1,UCqa2MPu8bLY1PwVFUpSyVhQ
vOaugsz3l0k,1,UCqa2MPu8bLY1PwVFUpSyVhQ
T20verA-0Zc,1,UCqa2MPu8bLY1PwVFUpSyVhQ
ILn00BQkXQo,1,UCqa2MPu8bLY1PwVFUpSyVhQ
afjREglEsas,1,UCqa2MPu8bLY1PwVFUpSyVhQ
88bGTF1_fRA,1,UCqa2MPu8bLY1PwVFUpSyVhQ
zdzOkiYn-ac,1,UCqa2MPu8bLY1PwVFUpSyVhQ
rWgMirS9CD4,1,UCqa2MPu8bLY1PwVFUpSyVhQ
VGst8vC7k6s,1,UCqa2MPu8bLY1PwVFUpSyVhQ
tzpuFI61mKA,1,UCqa2MPu8bLY1PwVFUpSyVhQ
OuHTU8T38ys,1,UCqa2MPu8bLY1PwVFUpSyVhQ
xd-veKGoUFA,1,UCqa2MPu8bLY1PwVFUpSyVhQ
iVWvyWU_d7Y,1,UCqa2MPu8bLY1PwVFUpSyVhQ
xbWXXgzMZzc,1,UCqa2MPu8bLY1PwVFUpSyVhQ
HNzmZvYfS7U,1,UCqa2MPu8bLY1PwVFUpSyVhQ
JcNCrrO59Rk,1,UCqa2MPu8bLY1PwVFUpSyVhQ
rUgw15AXLhk,1,UCqa2MPu8bLY1PwVFUpSyVhQ
-sTV5-q02xY,1,UCqa2MPu8bLY1PwVFUpSyVhQ
0_-MD5v4z2w,1,UCqa2MPu8bLY1PwVFUpSyVhQ
xbe_Xzy8-PE,1,UCqa2MPu8bLY1PwVFUpSyVhQ
DrqufuL6eD8,1,UCqa2MPu8bLY1PwVFUpSyVhQ
C5vTrhXRujU,1,UCqa2MPu8bLY1PwVFUpSyVhQ
Fm5b-8WYJis,1,UCqa2MPu8bLY1PwVFUpSyVhQ
oY321NVSr-4,1,UCqa2MPu8bLY1PwVFUpSyVhQ
wkCCVgzhDVA,1,UCqa2MPu8bLY1PwVFUpSyVhQ
UFGFs4LABX0,1,UCqa2MPu8bLY1PwVFUpSyVhQ
2TWNHc7h3mo,1,UCqa2MPu8bLY1PwVFUpSyVhQ
4neYWrrTQsI,1,UCqa2MPu8bLY1PwVFUpSyVhQ
TItqLXeq_xY,1,UCqa2MPu8bLY1PwVFUpSyVhQ
0-EAbRitv_Q,1,UCqa2MPu8bLY1PwVFUpSyVhQ
fF4fYSIb8cI,1,UCqa2MPu8bLY1PwVFUpSyVhQ
zJCVVCUgAI4,1,UCqa2MPu8bLY1PwVFUpSyVhQ
xerrjjAyZs8,1,UCqa2MPu8bLY1PwVFUpSyVhQ
hjHH0jN7ZeU,1,UCqa2MPu8bLY1PwVFUpSyVhQ
rSQyPhSyGA8,1,UCqa2MPu8bLY1PwVFUpSyVhQ
9qyWdPRkE6s,1,UCqa2MPu8bLY1PwVFUpSyVhQ
FFiKFwUTvX4,1,UCqa2MPu8bLY1PwVFUpSyVhQ
