videoId,totalWords,totalUniqueWords,totalSentences,avgSyllPerSec,avgCEFRScore,readability,uncommonRatio,A1ratio,A2ratio,B1ratio,B2ratio,C1ratio,C2ratio,Nratio
WPVwsiTdDHA,1566,721,183,2.032208985112856,3.2568654646324546,7.541990977922286,45.07628294036061,29.126213592233007,15.53398058252427,13.120665742024965,10.929264909847433,5.325936199722607,0.0,25.96393897364771
7HFTaqWbP2Y,597,221,143,1.0801041982873638,2.6217194570135747,5.4227726861373915,33.03167420814479,48.59728506787331,11.583710407239819,9.683257918552036,7.511312217194571,4.4343891402714934,0.0,18.19004524886878
nxdeh_7QJy8,97,78,14,1.9071071526555627,3.2051282051282053,7.024041758241758,42.30769230769231,30.76923076923077,13.333333333333334,14.615384615384617,11.538461538461538,5.384615384615385,0.0,24.358974358974358
ZJAKd4hg_m0,1024,529,144,1.7698437453910327,3.303213610586011,7.277626044948541,43.85633270321361,29.829867674858225,13.988657844990549,12.627599243856332,10.51039697542533,5.671077504725898,0.03780718336483932,27.334593572778825
KC6ZShT5_VQ,94,78,7,1.2849210436414251,3.1333333333333337,8.156185347985348,47.43589743589743,38.20512820512821,10.76923076923077,9.230769230769232,9.487179487179489,5.897435897435897,0.0,26.410256410256412
cxRVgo3-l54,17781,3451,2048,2.1070244763336325,4.227064618951029,10.496701400182918,63.74963778614894,12.657200811359026,10.715734569689946,12.442770211532888,13.190379600115909,7.435525934511736,0.11011301072152999,43.44827586206897
AvhmljqyDms,2016,714,196,2.2469055275772103,3.3232492997198877,8.559975350140057,50.98039215686274,27.450980392156865,15.658263305322128,13.529411764705882,10.61624649859944,5.966386554621849,0.08403361344537814,26.69467787114846
vmR8JAJGb6s,935,530,88,2.074389292538673,3.0928301886792453,7.796358490566038,46.0377358490566,33.47169811320755,14.943396226415096,12.150943396226415,11.056603773584905,5.018867924528302,0.07547169811320756,23.28301886792453
oxAp6aFUbiI,275,123,53,1.1771752918113447,2.432520325203252,4.493699953980673,26.82926829268293,52.52032520325203,13.333333333333334,7.479674796747966,6.991869918699186,4.390243902439025,0.0,15.284552845528458
_lIGBJMXA_0,663,361,81,1.5246880902321434,3.0831024930747923,7.054406237816764,42.10526315789473,35.124653739612185,13.795013850415511,12.24376731301939,9.861495844875346,4.43213296398892,0.0554016620498615,24.48753462603878
VsJJjNIiIU8,1700,830,266,1.5831285075540882,3.4245783132530123,7.508100914937947,45.54216867469879,28.072289156626507,13.132530120481928,12.048192771084338,11.373493975903614,5.759036144578313,0.07228915662650602,29.542168674698793
V2AJOdoXoTM,297,212,29,2.3700146168302365,2.656603773584906,6.689906376057255,39.15094339622642,45.56603773584905,13.773584905660377,10.471698113207546,8.39622641509434,3.207547169811321,0.0,18.584905660377355
hH_2gfxCBQk,1139,546,144,2.0498136363805597,3.063736263736264,6.87027094017094,41.02564102564102,33.91941391941391,14.43223443223443,13.003663003663005,10.842490842490843,5.604395604395605,0.0,22.1978021978022
zNuMGQuQFFs,893,462,84,2.0083679452257757,2.975324675324676,7.294438095238095,42.857142857142854,35.108225108225106,15.238095238095239,12.987012987012985,11.16883116883117,4.675324675324675,0.0,20.82251082251082
Fj_4J7DazPg,250,179,31,2.091952314497505,2.699441340782123,6.222011173184359,36.87150837988827,43.35195530726257,14.636871508379887,11.061452513966481,9.050279329608939,3.4636871508379885,0.0,18.435754189944134
yGbkLG1b8WA,3029,1199,379,2.135721295122607,3.6730608840700585,8.75891781321726,52.960800667222685,22.318598832360305,13.394495412844037,12.527105921601333,12.093411175979982,5.754795663052543,0.1000834028356964,33.81150959132611
joCUuDPUZjQ,190,142,23,2.2647121787432543,2.7816901408450705,6.525584200857318,38.732394366197184,44.08450704225352,12.3943661971831,10.422535211267606,8.028169014084508,4.507042253521127,0.0,20.56338028169014
2zYLntVHGRw,1260,612,143,1.9896439034823752,3.303921568627451,7.738619932355228,46.24183006535948,29.934640522875817,14.346405228758169,12.058823529411764,10.588235294117647,5.196078431372549,0.13071895424836602,27.745098039215687
58QmxIzvNDc,1357,421,146,2.406358406885347,2.889311163895487,7.212077102788534,42.75534441805225,37.387173396674584,15.01187648456057,13.30166270783848,9.643705463182899,4.89311163895487,0.047505938242280284,19.71496437054632
RKOoFB9O30s,835,479,90,2.0662512299114475,3.303966597077244,8.76723414520993,52.609603340292274,29.18580375782881,14.154488517745303,12.275574112734864,12.31732776617954,5.594989561586639,0.0,26.47181628392484
ZsExkXeu_qA,2568,830,339,2.5092666327663027,3.4074698795180725,7.757080371041689,46.74698795180723,27.590361445783135,14.289156626506022,12.481927710843372,11.036144578313252,4.626506024096385,0.07228915662650602,29.903614457831324
