videoId,totalWords,totalUniqueWords,totalSentences,avgSyllPerSec,avgCEFRScore,avgWordCEFR,avgFreqCEFR,readability,avgSentenceLength,uncommonRatio,totalEasyRatio,totalMiddleRatio,totalHardRatio,wordEasyRatio,wordMiddleRatio,wordHardRatio,FreqEasyRatio,FreqMiddleRatio,FreqHardRatio,channelId
SuSTBXGiOsw,671,288,106,1.635172782657083,2.8270833333333334,2.7256944444444446,2.894675925925926,5.138699580712789,6.330188679245283,30.555555555555557,56.80555555555556,17.430555555555557,25.76388888888889,63.19444444444444,10.416666666666666,26.388888888888886,52.5462962962963,22.10648148148148,25.34722222222222,UCWCOoCApFUtccYENOYeL1uw
-Q1X1pqHlco,658,327,92,1.764087833004738,3.0311926605504587,2.8348623853211006,3.162079510703364,6.149243238930994,7.1521739130434785,36.69724770642202,50.825688073394495,20.978593272171253,28.195718654434252,58.103975535168196,16.207951070336392,25.68807339449541,45.97349643221202,24.159021406727827,29.86748216106014,UCWCOoCApFUtccYENOYeL1uw
EhJS5bUdlTk,70,55,8,1.1278725504018046,2.2327272727272724,2.109090909090909,2.315151515151515,2.730727272727273,8.75,14.545454545454545,70.18181818181819,15.272727272727273,14.545454545454545,77.27272727272727,8.181818181818182,14.545454545454545,65.45454545454545,20.0,14.545454545454545,UCWCOoCApFUtccYENOYeL1uw
KRIZOVmsBas,152,98,22,1.7133765756945294,2.1918367346938776,2.0612244897959187,2.2789115646258504,3.565139888682746,6.909090909090909,20.408163265306122,70.81632653061224,15.10204081632653,14.081632653061225,73.9795918367347,13.775510204081632,12.244897959183673,68.70748299319729,15.98639455782313,15.306122448979593,UCWCOoCApFUtccYENOYeL1uw
oJKH3rJiu1Q,536,314,72,1.6388189822633719,2.812101910828025,2.6337579617834397,2.930997876857749,5.498480113234253,7.444444444444445,32.48407643312102,55.92356687898089,19.49044585987261,24.5859872611465,63.69426751592357,13.216560509554139,23.089171974522294,50.74309978768577,23.67303609341826,25.583864118895967,UCWCOoCApFUtccYENOYeL1uw
hvK3EE5toII,552,259,96,1.7319455762664653,2.5845559845559847,2.3803088803088803,2.7207207207207205,4.857593822393822,5.75,28.957528957528954,59.84555984555985,20.84942084942085,19.305019305019307,68.33976833976834,13.899613899613898,17.76061776061776,54.18275418275418,25.48262548262548,20.334620334620332,UCWCOoCApFUtccYENOYeL1uw
WQCNFcReilw,491,269,67,1.5598369166799642,3.0014869888475837,2.8550185873605947,3.0991325898389093,5.881181734450425,7.3283582089552235,34.94423791821561,52.11895910780669,19.03345724907063,28.847583643122675,57.06319702602231,15.055762081784387,27.881040892193308,48.822800495662946,21.68525402726146,29.49194547707559,UCWCOoCApFUtccYENOYeL1uw
28fCpAYYTuw,524,279,78,1.757717401889182,2.906810035842294,2.731182795698925,3.0238948626045405,6.33227835676868,6.717948717948718,37.992831541218635,53.9068100358423,19.21146953405018,26.881720430107528,61.11111111111111,13.799283154121865,25.089605734767026,49.10394265232975,22.819593787335727,28.076463560334524,UCWCOoCApFUtccYENOYeL1uw
jayZ-37g2SQ,34,27,5,0.86283786404002,2.1259259259259258,1.9259259259259258,2.2592592592592595,2.676539259259259,6.8,14.814814814814813,69.62962962962963,20.0,10.37037037037037,75.92592592592592,12.962962962962962,11.11111111111111,65.4320987654321,24.69135802469136,9.876543209876543,UCWCOoCApFUtccYENOYeL1uw
Ajzf9FyXgE4,139,90,27,1.6064435742257037,2.3777777777777778,2.4166666666666665,2.3518518518518516,4.6414592592592605,5.148148148148148,27.77777777777778,67.77777777777777,11.333333333333332,20.88888888888889,70.0,6.111111111111111,23.88888888888889,66.29629629629629,14.814814814814815,18.88888888888889,UCWCOoCApFUtccYENOYeL1uw
CO2QoRjXf_4,34,26,10,1.1129913345674667,1.8153846153846154,1.8653846153846154,1.782051282051282,1.9905630769230769,3.4,11.538461538461538,76.92307692307692,16.153846153846157,6.923076923076923,80.76923076923076,7.6923076923076925,11.538461538461538,74.35897435897436,21.794871794871796,3.846153846153846,UCWCOoCApFUtccYENOYeL1uw
e-nckgCYY0Y,55,32,8,0.6560129083782219,2.1375,1.984375,2.2395833333333335,2.8081875,6.875,15.625,71.875,16.875,11.25,78.125,9.375,12.5,67.70833333333334,21.875,10.416666666666668,UCWCOoCApFUtccYENOYeL1uw
JnmtL8WaekY,29,16,4,0.6056029487629999,1.8625,1.6875,1.9791666666666667,2.3333500000000003,7.25,12.5,78.75,12.5,8.75,84.375,6.25,9.375,75.0,16.666666666666664,8.333333333333332,UCWCOoCApFUtccYENOYeL1uw
0392Bcr1ePI,30,24,4,0.594500866980431,1.9083333333333332,1.8958333333333333,1.9166666666666667,4.319500000000001,7.5,25.0,77.5,11.666666666666666,10.833333333333334,79.16666666666667,8.333333333333332,12.5,76.38888888888889,13.88888888888889,9.722222222222221,UCWCOoCApFUtccYENOYeL1uw
dUoQ_Y_CdIo,97,41,17,0.9216147039039774,1.9560975609756095,1.9146341463414633,1.983739837398374,2.5937434720229553,5.705882352941177,14.634146341463413,78.04878048780489,12.195121951219512,9.75609756097561,82.92682926829268,4.878048780487805,12.195121951219512,74.79674796747967,17.073170731707314,8.130081300813007,UCWCOoCApFUtccYENOYeL1uw
OdIz8VOcSyg,38,28,3,0.806183904775454,1.7571428571428573,1.6964285714285714,1.7976190476190474,2.3200523809523808,12.666666666666666,10.714285714285714,82.85714285714286,12.142857142857144,5.0,87.5,5.357142857142857,7.142857142857142,79.76190476190476,16.666666666666664,3.571428571428571,UCWCOoCApFUtccYENOYeL1uw
xdxaGB0Tsp0,35,28,7,0.6899231037162071,2.1428571428571432,1.8214285714285714,2.357142857142857,1.9397857142857142,5.0,10.714285714285714,70.71428571428572,20.0,9.285714285714285,83.92857142857142,8.928571428571427,7.142857142857142,61.9047619047619,27.38095238095238,10.714285714285714,UCWCOoCApFUtccYENOYeL1uw
aA3Pp4VInKA,50,27,7,0.7094812494241225,1.8888888888888888,1.7962962962962963,1.9506172839506173,2.6935449735449737,7.142857142857143,14.814814814814813,76.2962962962963,12.592592592592593,11.11111111111111,81.4814814814815,5.555555555555555,12.962962962962962,72.8395061728395,17.283950617283953,9.876543209876544,UCWCOoCApFUtccYENOYeL1uw
oXz8ixzWOp0,52,27,16,0.6959817158867929,1.7925925925925927,1.8148148148148149,1.777777777777778,2.500459259259259,3.25,14.814814814814813,78.51851851851853,13.333333333333332,8.148148148148149,81.48148148148148,7.4074074074074066,11.11111111111111,76.54320987654322,17.28395061728395,6.1728395061728385,UCWCOoCApFUtccYENOYeL1uw
7oIqPvTVSr4,15,11,3,0.5782268673113896,1.2727272727272727,1.3636363636363638,1.2121212121212122,0.248,5.0,0.0,92.72727272727275,5.454545454545454,1.8181818181818183,90.9090909090909,4.545454545454546,4.545454545454546,93.93939393939394,6.06060606060606,0.0,UCWCOoCApFUtccYENOYeL1uw
p-rGgyl7PHQ,14,8,1,0.38409832917226805,2.325,2.625,2.125,4.641900000000001,14.0,25.0,70.0,12.5,17.5,68.75,0.0,31.25,70.83333333333333,20.833333333333336,8.333333333333332,UCWCOoCApFUtccYENOYeL1uw
Cp5Vef3-F30,34,30,4,1.1902074654737231,1.8066666666666666,1.65,1.9111111111111112,2.526933333333334,8.5,13.333333333333334,78.66666666666667,14.0,7.333333333333334,85.0,8.333333333333334,6.666666666666667,74.44444444444444,17.777777777777775,7.777777777777778,UCWCOoCApFUtccYENOYeL1uw
aRRtl2f4RQ4,47,31,16,0.7854727480895706,2.1483870967741936,2.1774193548387095,2.129032258064516,3.711183870967742,2.9375,22.58064516129032,78.06451612903226,3.225806451612903,18.70967741935484,79.03225806451613,1.6129032258064515,19.35483870967742,77.41935483870968,4.301075268817204,18.27956989247312,UCWCOoCApFUtccYENOYeL1uw
_CEGrPY8_b0,437,213,55,1.72376676097921,2.75962441314554,2.55868544600939,2.89358372456964,4.24893022620572,7.945454545454545,24.413145539906104,57.652582159624416,16.525821596244132,25.821596244131456,66.90140845070424,8.92018779342723,24.178403755868544,51.4866979655712,21.5962441314554,26.917057902973397,UCWCOoCApFUtccYENOYeL1uw
yu_yS5GYkog,467,238,78,1.670191910854313,2.5949579831932774,2.5105042016806722,2.6512605042016806,4.476669984917045,5.987179487179487,26.47058823529412,60.92436974789916,18.235294117647058,20.840336134453782,67.64705882352942,11.134453781512605,21.218487394957982,56.44257703081232,22.969187675070028,20.588235294117645,UCWCOoCApFUtccYENOYeL1uw
sf2I-3NvKZY,1427,437,245,1.5877265877674043,2.9757437070938217,2.8684210526315788,3.0472921434019837,5.961732222481671,5.8244897959183675,35.92677345537758,53.86727688787185,16.97940503432494,29.153318077803203,59.382151029748286,11.327231121281464,29.29061784897025,50.1906941266209,20.747520976353925,29.06178489702517,UCWCOoCApFUtccYENOYeL1uw
9rnQxyJ8VZo,411,210,65,1.4924138009753485,2.7495238095238093,2.645238095238095,2.8190476190476192,5.201005567765568,6.323076923076923,30.952380952380953,59.23809523809524,15.428571428571427,25.333333333333336,64.76190476190477,10.238095238095237,25.0,55.55555555555556,18.88888888888889,25.555555555555557,UCWCOoCApFUtccYENOYeL1uw
PNOOWlIJ79w,127,64,30,1.0032202492548972,2.209375,2.1328125,2.2604166666666665,4.6509108333333335,4.233333333333333,28.125,71.25,11.5625,17.1875,74.21875,9.375,16.40625,69.27083333333334,13.020833333333332,17.708333333333332,UCWCOoCApFUtccYENOYeL1uw
0jxVXMoXqoU,63,50,7,1.526251526251526,2.752,2.59,2.86,6.7624,9.0,40.0,58.0,16.4,25.599999999999998,64.0,12.0,24.0,54.0,19.333333333333336,26.666666666666668,UCWCOoCApFUtccYENOYeL1uw
cl11lIVe8dk,94,68,13,1.97063900643131,2.614705882352941,2.485294117647059,2.7009803921568625,5.699381447963802,7.230769230769231,33.82352941176471,61.17647058823529,15.882352941176471,22.94117647058824,66.1764705882353,13.235294117647058,20.588235294117645,57.843137254901954,17.647058823529413,24.509803921568626,UCWCOoCApFUtccYENOYeL1uw
TQ9aQKLmo8M,75,52,15,1.742108837511442,2.3576923076923073,2.3269230769230766,2.378205128205128,5.106461538461539,5.0,30.76923076923077,68.07692307692308,11.153846153846153,20.769230769230766,73.07692307692308,4.8076923076923075,22.115384615384613,64.74358974358975,15.384615384615385,19.871794871794872,UCWCOoCApFUtccYENOYeL1uw
j4T6pl-TJ0o,317,173,60,1.675861738746455,2.624277456647399,2.4450867052023124,2.74373795761079,5.008180500963391,5.283333333333333,30.057803468208093,60.69364161849711,15.606936416184968,23.69942196531792,67.6300578034682,10.69364161849711,21.67630057803468,56.06936416184971,18.88246628131021,25.04816955684008,UCqa2MPu8bLY1PwVFUpSyVhQ
4hRXBffOExI,443,241,77,1.7674929186526664,2.7195020746887963,2.408713692946058,2.926694329183956,5.330298798297139,5.753246753246753,31.950207468879665,56.34854771784232,20.414937759336098,23.23651452282158,67.21991701244814,13.485477178423235,19.29460580912863,49.100968188105114,25.034578146611345,25.86445366528354,UCqa2MPu8bLY1PwVFUpSyVhQ
