,Rank,Word
0,1,the
1,2,you
2,3,i
3,4,a
4,5,to
5,6,and
6,7,of
7,8,it
8,9,in
9,10,my
10,11,that
11,12,is
12,13,this
13,14,me
14,15,your
15,16,for
16,17,oh
17,18,i'm
18,19,on
19,20,we
20,21,what
21,22,no
22,23,all
23,24,have
24,25,be
25,26,but
26,27,don't
27,28,it's
28,29,do
29,30,are
30,31,just
31,32,with
32,33,not
33,34,like
34,35,so
35,36,well
36,37,now
37,38,was
38,39,get
39,40,can
40,41,you're
41,42,know
42,43,homer
43,44,out
44,45,here
45,46,one
46,47,at
47,48,that's
48,49,up
49,50,hey
50,51,right
51,52,if
52,53,go
53,54,got
54,55,bart
55,56,he
56,57,how
57,58,our
58,59,about
59,60,there
60,61,i'll
61,62,good
62,63,come
63,64,yeah
64,65,see
65,66,will
66,67,they
67,68,want
68,69,marge
69,70,man
70,71,from
71,72,as
72,73,think
73,74,an
74,75,little
75,76,can't
76,77,look
77,78,why
78,79,him
79,80,back
80,81,did
81,82,okay
82,83,who
83,84,dad
84,85,some
85,86,us
86,87,time
87,88,when
88,89,gonna
89,90,uh
90,91,take
91,92,could
92,93,simpson
93,94,his
94,95,never
95,96,lisa
96,97,going
97,98,yes
98,99,we're
99,100,i've
100,101,say
101,102,he's
102,103,by
103,104,make
104,105,would
105,106,more
106,107,been
107,108,or
108,109,love
109,110,let's
110,111,really
111,112,there's
112,113,has
113,114,her
114,115,way
115,116,down
116,117,mr
117,118,too
118,119,off
119,120,them
120,121,boy
121,122,give
122,123,something
123,124,need
124,125,where
125,126,were
126,127,only
127,128,people
128,129,what's
129,130,then
130,131,over
131,132,tell
132,133,am
133,134,sorry
134,135,had
135,136,these
136,137,let
137,138,those
138,139,two
139,140,sure
140,141,didn't
141,142,day
142,143,thing
143,144,kids
144,145,please
145,146,wait
146,147,new
147,148,mom
148,149,hmm
149,150,should
150,151,she
151,152,first
152,153,ever
153,154,better
154,155,stop
155,156,great
156,157,sir
157,158,again
158,159,god
159,160,old
160,161,help
161,162,maybe
162,163,big
163,164,any
164,165,thank
165,166,i'd
166,167,into
167,168,home
168,169,life
169,170,even
170,171,they're
171,172,than
172,173,very
173,174,gasps
174,175,put
175,176,school
176,177,said
177,178,their
178,179,mean
179,180,work
180,181,show
181,182,you've
182,183,laughing
183,184,made
184,185,son
185,186,ooh
186,187,we'll
187,188,much
188,189,hello
189,190,because
190,191,huh
191,192,last
192,193,you'll
193,194,springfield
194,195,call
195,196,always
196,197,still
197,198,money
198,199,must
199,200,name
200,201,family
201,202,night
202,203,groans
203,204,find
204,205,doing
205,206,before
206,207,thought
207,208,won't
208,209,house
209,210,every
210,211,next
211,212,ah
212,213,guy
213,214,anything
214,215,thanks
215,216,bad
216,217,isn't
217,218,guess
218,219,feel
219,220,away
220,221,burns
221,222,three
222,223,d'oh
223,224,nothing
224,225,things
225,226,baby
226,227,keep
227,228,wow
228,229,years
229,230,nice
230,231,other
231,232,gotta
232,233,does
233,234,place
234,235,we've
235,236,world
236,237,both
237,238,real
238,239,after
239,240,mmm
240,241,believe
241,242,lot
242,243,best
243,244,guys
244,245,car
245,246,ow
246,247,remember
247,248,hear
248,249,own
249,250,long
250,251,dog
251,252,around
252,253,kill
253,254,moe
254,255,fun
255,256,whoa
256,257,krusty
257,258,another
258,259,may
259,260,stupid
260,261,doesn't
261,262,grunting
262,263,grunts
263,264,talk
264,265,done
265,266,here's
266,267,happy
267,268,today
268,269,singing
269,270,use
270,271,play
271,272,which
272,273,she's
273,274,children
274,275,kind
275,276,job
276,277,wrong
277,278,fine
278,279,getting
279,280,screams
280,281,everything
281,282,girl
282,283,someone
283,284,chuckles
284,285,honey
285,286,through
286,287,coming
287,288,eat
288,289,father
289,290,most
290,291,everyone
291,292,milhouse
292,293,mother
293,294,while
294,295,worry
295,296,many
296,297,screaming
297,298,hi
298,299,enough
299,300,looks
